States,NTR,CMR,YS,ATR,CF,SNT,DW,ELC,HS,AS
Andaman & Nicobar Islands,4.81,0.46,2.75,0.23,5.36,5.43,1.84,2.04,5.96,3.03
Andhra Pradesh,10.41,1.17,9.56,1.64,12.87,13.71,5.75,0.62,7.4,6.31
Arunachal Pradesh,12.74,1.44,14.19,5.97,22.3,17.19,6.85,7.63,23.42,13.7
Assam,0.27,0.03,0.15,0.06,0.35,0.28,0.1,0.16,0.35,0.15
Bihar,0.41,0.04,0.25,0.12,0.51,0.49,0.02,0.29,0.49,0.19
Chandigarh,4.09,0.52,2.84,1.46,2.84,4.05,0.71,0.48,2.25,1.19
Chhattisgarh,28.42,2.86,12.45,4.72,35.99,34.06,10.97,2.94,34.17,11.1
Dadra & Nagar Haveli,30.27,1.65,7.22,6.76,30.47,32.81,11.21,2.12,32.52,12.79
Daman & Diu,4.38,0.51,3.24,3.21,1.2,4.12,1.17,0,1.07,3.06
Delhi,0.034,0.011,0.026,0.012,0.006,0.03,0.014,0.001,0.014,0.016
Goa,4.59,0.4,2.31,0.62,3.79,4.16,0.47,0,3.35,1.23
Gujarat,17.52%,1.66%,7.27%,5.11%,20.22%,18.55%,5.56%,2.99%,14.20%,9.04%
Haryana,8.75,1.45,4.84,2.87,9.17,6.64,3.2,0.78,7.39,2.69
Himachal Pradesh,6.57,0.82,2.12,0.44,7.61,6.16,1.52,0.26,6.33,3
Jammu & Kashmir,11.36,1.28,4.93,2.62,13.63,13.24,5.83,1.85,11.77,7.58
Jharkhand,0.37,0.03,0.18,0.08,0.46,0.44,0.19,0.14,0.41,0.16
Karnataka,12.65,1.06,6.53,2.6,15.52,15.07,4.45,1.11,13.28,5.72
Kerala,0.0079,0.0003,0.0031,0.0022,0.0094,0.0035,0.0035,0.0028,0.0068,0.0056
Lakshadweep,0.018,0.009,0,0.006,0.009,0.001,0.006,0,0.003,0.001
MP,0.31,0.03,0.15,0.08,0.39,0.38,0.19,0.7,0.37,0.14
Maharashtra,13.77,1.02,4.9,3.12,15.02,14.8,6.33,3.59,12.41,7.63
Manipur,15.77,1.41,4.9,1.97,18.57,13.92,16.44,3.77,20.47,7.23
Meghalaya,22.58,2.47,17.53,5.5,32.07,19.72,15.18,6.67,24.63,19.89
Mizoram,5.59,0.92,5.75,2.38,8.67,6.01,2.95,3.03,7.78,7.03
Nagaland,15.09,1.56,11.79,3.72,22.85,8.92,7.2,2.41,22.94,17.23
Odisha,26.8,1.9,15.12,4.57,35.39,33.64,11.11,9.45,31.16,14.13
Puducherry,0.0263,0.0034,0.0121,0.0009,0.0266,0.0313,0.0029,0.0011,0.0283,0.0076
Punjab,4.27,0.66,3.84,1.58,4.76,3.69,0.48,0.26,4.17,0.8
Rajasthan,23.68,2.43,14.61,7.58,30.32,27.71,14.61,7.12,21.41,14.54
Sikkim,0.031,0.004,0.033,0.004,0.039,0.014,0.004,0.001,0.034,0.029
Tamil Nadu,5.08,0.56,3.09,0.52,5.96,6.87,1.66,0.51,4.76,1.83
Telangana,11.67,1.07,10.46,1.29,13.91,15.7,6.01,0.92,10.98,7.51
Tripura,13.91,1,9.31,1.75,19.01,14.23,8.61,5.01,19.75,11.38
UP,0.31,0.04,0.16,0.11,0.38,0.36,0.03,0.19,0.37,0.09
Uttarakhand,13.41,1.84,7.16,3.27,15.67,12.39,3.36,1.53,12.9,6.88
West Bengal,18.81,1.18,13.07,3.13,25.59,22.09,4.84,3.99,23.66,9.58
