States,MPI,HCR,IPP,H,E,L,NTR,CMR,YS,ATR,CF,SNT,DW,ELC,HS,AS
Andaman & Nicobar Islands,0.027,6.9,38.96,24.71,21.85,53.44,4.81,0.46,2.75,0.23,5.36,5.43,1.84,2.04,5.96,3.03
Andhra Pradesh,0.064,15.63,40.88,33.72,32.47,33.81,10.41,1.17,9.56,1.64,12.87,13.71,5.75,0.62,7.4,6.31
Arunachal Pradesh,0.108,24.39,44.22,22.7,35.71,41.58,12.74,1.44,14.19,5.97,22.3,17.19,6.85,7.63,23.42,13.7
Assam,0.162,36.21,44.65,30.91,24.4,44.69,0.27,0.03,0.15,0.06,0.35,0.28,0.1,0.16,0.35,0.15
Bihar,0.248,52.45,47.22,30.71,30.87,38.42,0.41,0.04,0.25,0.12,0.51,0.49,0.02,0.29,0.49,0.19
Chandigarh,0.021,4.77,44.53,32.68,42.62,24.7,4.09,0.52,2.84,1.46,2.84,4.05,0.71,0.48,2.25,1.19
Chhattisgarh,0.153,36.8,41.45,32.62,25.49,41.89,28.42,2.86,12.45,4.72,35.99,34.06,10.97,2.94,34.17,11.1
Dadra & Nagar Haveli,0.144,34.15,42.24,39.13,22.82,38.05,30.27,1.65,7.22,6.76,30.47,32.81,11.21,2.12,32.52,12.79
Daman & Diu,0.025,5.95,41.66,40.49,40.41,19.1,4.38,0.51,3.24,3.21,1.2,4.12,1.17,0,1.07,3.06
Delhi,0.018,4.28,42.12,47.13,25.91,26.97,0.034,0.011,0.026,0.012,0.006,0.03,0.014,0.001,0.014,0.016
Goa,0.02,5.49,37.18,35.36,24.22,40.42,4.59,0.4,2.31,0.62,3.79,4.16,0.47,0,3.35,1.23
Gujarat,0.092,21.75,42.22,35.66%,31.95%,32.39%,17.52%,1.66%,7.27%,5.11%,20.22%,18.55%,5.56%,2.99%,14.20%,9.04%
Haryana,0.046,10.93,42.46,36.14,21.32,42.53,8.75,1.45,4.84,2.87,9.17,6.64,3.2,0.78,7.39,2.69
Himachal Pradesh,0.03,8.13,37.42,26.96,28.66,44.38,6.57,0.82,2.12,0.44,7.61,6.16,1.52,0.26,6.33,3
Jammu & Kashmir,0.064,15.24,41.73,31.22,26.15,42.63,11.36,1.28,4.93,2.62,13.63,13.24,5.83,1.85,11.77,7.58
Jharkhand,0.208,46.55,44.74,36.84,25.13,38.03,0.37,0.03,0.18,0.08,0.46,0.44,0.19,0.14,0.41,0.16
Karnataka,0.069,17.26,39.82,32.99,22.19,44.82,12.65,1.06,6.53,2.6,15.52,15.07,4.45,1.11,13.28,5.72
Kerala,0.004,1.07,37.32,31,26.81,42.19,0.0079,0.0003,0.0031,0.0022,0.0094,0.0035,0.0035,0.0028,0.0068,0.0056
Lakshadweep,0.007,1.84,36.76,40.59,35.92,23.5,0.018,0.009,0,0.006,0.009,0.001,0.006,0,0.003,0.001
Madhya Pradesh,0.182,41.06,44.26,30.43,25.03,44.53,0.31,0.03,0.15,0.08,0.39,0.38,0.19,0.7,0.37,0.14
Maharashtra,0.071,17.26,41.28,35.25,22.62,42.13,13.77,1.02,4.9,3.12,15.02,14.8,6.33,3.59,12.41,7.63
Manipur,0.085,21.03,40.31,31.89,19.44,48.67,15.77,1.41,4.9,1.97,18.57,13.92,16.44,3.77,20.47,7.23
Meghalaya,0.146,32.76,44.49,30.19,28.43,41.38,22.58,2.47,17.53,5.5,32.07,19.72,15.18,6.67,24.63,19.89
Mizoram,0.044,9.76,45.21,23.91,34.64,41.45,5.59,0.92,5.75,2.38,8.67,6.01,2.95,3.03,7.78,7.03
Nagaland,0.099,23.71,41.71,26.75,28.07,45.18,15.09,1.56,11.79,3.72,22.85,8.92,7.2,2.41,22.94,17.23
Odisha,0.156,35.88,43.36,31.17,25.38,43.45,26.8,1.9,15.12,4.57,35.39,33.64,11.11,9.45,31.16,14.13
Puducherry,0.013,3.43,36.61,27.29,36.75,35.96,0.0263,0.0034,0.0121,0.0009,0.0266,0.0313,0.0029,0.0011,0.0283,0.0076
Punjab,0.025,6.09,41.24,35.59,36.71,27.7,4.27,0.66,3.84,1.58,4.76,3.69,0.48,0.26,4.17,0.8
Rajasthan,0.145,31.97,45.28,33.12,25.27,41.6,23.68,2.43,14.61,7.58,30.32,27.71,14.61,7.12,21.41,14.54
Sikkim,0.019,4.87,38.09,26.32,31.1,42.58,0.031,0.004,0.033,0.004,0.039,0.014,0.004,0.001,0.034,0.029
Tamil Nadu,0.027,7.3,37.5,28.76,30.72,40.52,5.08,0.56,3.09,0.52,5.96,6.87,1.66,0.51,4.76,1.83
Telangana,0.071,17.51,40.77,33.91,35.71,30.38,11.67,1.07,10.46,1.29,13.91,15.7,6.01,0.92,10.98,7.51
Tripura,0.087,20.29,42.68,29.86,23.36,46.78,13.91,1,9.31,1.75,19.01,14.23,8.61,5.01,19.75,11.38
Uttar Pradesh,0.183,40.81,44.75,32.86,30.95,36.19,0.31,0.04,0.16,0.11,0.38,0.36,0.03,0.19,0.37,0.09
Uttarakhand,0.072,17.26,41.77,33.88,31.4,34.71,13.41,1.84,7.16,3.27,15.67,12.39,3.36,1.53,12.9,6.88
West Bengal,0.11,26.26,41.94,30.59,26.7,42.71,18.81,1.18,13.07,3.13,25.59,22.09,4.84,3.99,23.66,9.58
